0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:38 +0530] "POST /ManuringIt/CustInfo HTTP/1.1" 200 11184
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:17:59 +0530] "GET /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:01 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:01 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:02 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:03 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:03 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:04 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:08 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:08 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:09 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:09 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:10 +0530] "POST /ManuringIt/Sowing HTTP/1.1" 200 5791
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:11 +0530] "GET /ManuringIt/Harvesting HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:18 +0530] "GET /ManuringIt/ref2.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:18:26 +0530] "GET /ManuringIt/ref1.jsp HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:13 +0530] "GET /ManuringIt/Sales HTTP/1.1" 200 7218
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:13 +0530] "GET /ManuringIt/FarmInput HTTP/1.1" 200 5431
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:14 +0530] "GET /ManuringIt/Harvesting HTTP/1.1" 200 4411
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:15 +0530] "GET /ManuringIt/Sowing HTTP/1.1" 200 5507
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:16 +0530] "GET /ManuringIt/landingPage.jsp HTTP/1.1" 200 3286
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:16 +0530] "GET /header_menu.html HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [19/Aug/2017:22:19:18 +0530] "POST /ManuringIt/CropInputs HTTP/1.1" 200 6581
0:0:0:0:0:0:0:1 - - [19/Aug/2017:23:11:33 +0530] "POST /ManuringIt/CropSelect HTTP/1.1" 200 25647
0:0:0:0:0:0:0:1 - - [19/Aug/2017:23:11:38 +0530] "GET /ManuringIt/ref2.jsp HTTP/1.1" 200 1545
0:0:0:0:0:0:0:1 - - [19/Aug/2017:23:15:32 +0530] "GET /ManuringIt/ref2.jsp HTTP/1.1" 200 1545
